Expiration,Strike,CallOI,PutOI
2025-03-21,409,0,306
2025-03-21,410,12,1735
2025-03-21,411,0,437
2025-03-21,412,3,604
2025-03-21,413,14,475
2025-03-21,414,2,540
2025-03-21,415,13,1498
2025-03-21,416,30,1750
2025-03-21,417,217,1446
2025-03-21,418,338,979
2025-03-21,419,308,1552
2025-03-21,420,1979,1128
2025-03-21,421,556,296
2025-03-21,422,689,370
2025-03-21,423,647,689
2025-03-21,424,789,264
2025-03-21,425,2035,1713
2025-03-21,426,274,313
2025-03-21,427,628,557
2025-03-21,428,270,357
2025-03-21,429,3882,202
2025-03-28,409,42,42
2025-03-28,410,61,796
2025-03-28,411,23,38
2025-03-28,412,24,46
2025-03-28,413,99,241
2025-03-28,414,53,67
2025-03-28,415,72,316
2025-03-28,416,54,99
2025-03-28,417,100,58
2025-03-28,418,255,413
2025-03-28,419,40,81
2025-03-28,420,205,466
2025-03-28,421,78,274
2025-03-28,422,69,178
2025-03-28,423,406,212
2025-03-28,424,503,69
2025-03-28,425,509,181
2025-03-28,426,182,15
2025-03-28,427,66,26
2025-03-28,428,69,479
2025-03-28,429,100,49
2025-04-04,409,1,52
2025-04-04,410,105,235
2025-04-04,411,0,10
2025-04-04,412,6,8
2025-04-04,413,8,27
2025-04-04,414,1,14
2025-04-04,415,91,81
2025-04-04,416,27,23
2025-04-04,417,34,35
2025-04-04,418,30,39
2025-04-04,419,37,19
2025-04-04,420,132,155
2025-04-04,421,1415,27
2025-04-04,422,831,23
2025-04-04,423,135,81
2025-04-04,424,83,16
2025-04-04,425,184,105
2025-04-04,426,59,7
2025-04-04,427,63,10
2025-04-04,428,91,7
2025-04-04,429,12,15

Summary - Total Open Interest By Strike
Strike,Total Call OI,Total Put OI,Put/Call Ratio
409,43,400,9.30
410,178,2766,15.54
411,23,485,21.09
412,33,658,19.94
413,121,743,6.14
414,56,621,11.09
415,176,1895,10.77
416,111,1872,16.86
417,351,1539,4.38
418,623,1431,2.30
419,385,1652,4.29
420,2316,1749,0.76
421,2049,597,0.29
422,1589,571,0.36
423,1188,982,0.83
424,1375,349,0.25
425,2728,1999,0.73
426,515,335,0.65
427,757,593,0.78
428,430,843,1.96
429,3994,266,0.07

GRAND TOTAL,19041,22346,1.17
