Expiration,Strike,CallOI,PutOI
2025-03-21,469,286,2693
2025-03-21,470,17023,37990
2025-03-21,471,1039,5375
2025-03-21,472,863,4172
2025-03-21,473,2149,5490
2025-03-21,474,2345,3712
2025-03-21,475,17539,41021
2025-03-21,476,3107,7694
2025-03-21,477,3294,7359
2025-03-21,478,4536,7965
2025-03-21,479,4530,6476
2025-03-21,480,24873,42953
2025-03-21,481,5169,4617
2025-03-21,482,5512,2464
2025-03-21,483,5832,3314
2025-03-21,484,6288,2268
2025-03-21,485,31140,37116
2025-03-21,486,5339,1020
2025-03-21,487,7627,585
2025-03-21,488,5495,543
2025-03-21,489,3715,253
2025-03-28,469,115,1896
2025-03-28,470,1822,11102
2025-03-28,471,387,1141
2025-03-28,472,238,670
2025-03-28,473,311,1809
2025-03-28,474,3223,3966
2025-03-28,475,2853,5089
2025-03-28,476,821,1276
2025-03-28,477,728,719
2025-03-28,478,571,909
2025-03-28,479,943,1172
2025-03-28,480,4078,3203
2025-03-28,481,882,1250
2025-03-28,482,729,280
2025-03-28,483,895,443
2025-03-28,484,1178,235
2025-03-28,485,6151,1606
2025-03-28,486,2323,181
2025-03-28,487,1392,126
2025-03-28,488,1554,205
2025-03-28,489,887,272
2025-04-04,469,115,221
2025-04-04,470,1180,1161
2025-04-04,471,87,233
2025-04-04,472,217,2471
2025-04-04,473,92,239
2025-04-04,474,148,373
2025-04-04,475,1880,2612
2025-04-04,476,196,209
2025-04-04,477,260,218
2025-04-04,478,465,246
2025-04-04,479,500,432
2025-04-04,480,2210,3902
2025-04-04,481,403,180
2025-04-04,482,523,256
2025-04-04,483,573,214
2025-04-04,484,269,227
2025-04-04,485,1904,2537
2025-04-04,486,324,1226
2025-04-04,487,232,333
2025-04-04,488,795,154
2025-04-04,489,582,167

Summary - Total Open Interest By Strike
Strike,Total Call OI,Total Put OI,Put/Call Ratio
469,516,4810,9.32
470,20025,50253,2.51
471,1513,6749,4.46
472,1318,7313,5.55
473,2552,7538,2.95
474,5716,8051,1.41
475,22272,48722,2.19
476,4124,9179,2.23
477,4282,8296,1.94
478,5572,9120,1.64
479,5973,8080,1.35
480,31161,50058,1.61
481,6454,6047,0.94
482,6764,3000,0.44
483,7300,3971,0.54
484,7735,2730,0.35
485,39195,41259,1.05
486,7986,2427,0.30
487,9251,1044,0.11
488,7844,902,0.11
489,5184,692,0.13

GRAND TOTAL,202737,280241,1.38
